Feature,Importance
num__Monetary,625.5676249726944
num__Frequency,113.58337919152538
num__Recency,75.80067118726973
cat__Country_United Kingdom,47.8322446281621
num__AverageBasketSize,38.80887688045766
num__PurchaseFrequency,36.60802574152278
cat__Country_Belgium,20.28714421445414
cat__Country_Switzerland,13.318835541369447
cat__Country_Germany,12.745355726176669
cat__Country_France,6.855615773000263
cat__Country_Denmark,5.088717209158114
cat__Country_Japan,3.312193621175233
cat__Country_Spain,3.059819045410851
cat__Country_Norway,2.863755717131018
cat__Country_Italy,1.9190778470827996
cat__Country_Australia,0.8837060568170566
cat__Country_Channel Islands,0.8164441201281776
cat__Country_Greece,0.7803427205377841
cat__Country_Sweden,0.7125601842051218
cat__Country_Austria,0.6631121171735717
cat__Country_Cyprus,0.4483698737818344
cat__Country_USA,0.4452238958882454
cat__Country_Israel,0.4342360609055331
cat__Country_Portugal,0.3949795667586065
cat__Country_Netherlands,0.3663369399429346
cat__Country_United Arab Emirates,0.12842689852342212
cat__Country_Unspecified,0.0695869566687034
cat__Country_Thailand,0.06856864434257252
cat__Country_Saudi Arabia,0.05405925232156204
cat__Country_Canada,0.051131678059516815
cat__Country_Poland,0.0490809448405299
cat__Country_European Community,0.03211944416203945
cat__Country_Brazil,0.01836326263150373
cat__Country_Malta,0.0
cat__Country_Lebanon,0.0
cat__Country_Nigeria,0.0
cat__Country_Korea,0.0
cat__Country_Finland,0.0
cat__Country_Singapore,0.0
cat__Country_EIRE,0.0
cat__Country_Czech Republic,0.0
cat__Country_Bahrain,0.0
cat__Country_Iceland,0.0
