CustomerID,Recency,Frequency,Monetary,Cluster,ClusterLabel
12346,326.0,12,77556.46,1,Loyal Customers
12347,2.0,8,5633.32,1,Loyal Customers
12348,75.0,5,2019.3999999999999,1,Loyal Customers
12349,19.0,4,4428.69,1,Loyal Customers
12350,310.0,1,334.4,0,At Risk
12351,375.0,1,300.93,0,At Risk
12352,36.0,10,2849.84,1,Loyal Customers
12353,204.0,2,406.76,1,Loyal Customers
12354,232.0,1,1079.4,1,Loyal Customers
12355,214.0,2,947.61,1,Loyal Customers
12356,23.0,6,6373.68,1,Loyal Customers
12357,33.0,3,18287.66,1,Loyal Customers
12358,2.0,5,3887.07,1,Loyal Customers
12359,58.0,10,8935.94,1,Loyal Customers
12360,52.0,8,4252.89,1,Loyal Customers
12361,287.0,4,511.25,0,At Risk
12362,3.0,11,5356.2300000000005,1,Loyal Customers
12363,110.0,2,552.0,1,Loyal Customers
12364,8.0,4,1313.1,1,Loyal Customers
12365,291.0,2,641.38,0,At Risk
12366,634.0,1,500.24,0,At Risk
12367,4.0,1,168.9,1,Loyal Customers
12368,628.0,1,917.7,0,At Risk
12369,413.0,3,1791.15,0,At Risk
12370,51.0,7,4320.31,1,Loyal Customers
12371,45.0,5,4067.38,1,Loyal Customers
12372,72.0,3,1298.04,1,Loyal Customers
12373,311.0,3,1127.65,0,At Risk
12374,25.0,4,2989.2200000000003,1,Loyal Customers
12375,11.0,2,457.5,1,Loyal Customers
12376,390.0,2,503.15,0,At Risk
12377,315.0,4,3426.32,0,At Risk
12378,130.0,2,5416.32,1,Loyal Customers
12379,82.0,4,1620.22,1,Loyal Customers
12380,22.0,11,9676.3,1,Loyal Customers
12381,5.0,5,1845.31,1,Loyal Customers
12383,185.0,5,1850.56,1,Loyal Customers
12384,29.0,2,585.27,1,Loyal Customers
12385,379.0,1,1938.4,0,At Risk
12386,338.0,2,660.8,0,At Risk
12387,415.0,1,143.94,0,At Risk
12388,16.0,8,3901.11,1,Loyal Customers
12389,403.0,3,1433.33,0,At Risk
12390,80.0,1,549.84,1,Loyal Customers
12391,22.0,6,2773.42,1,Loyal Customers
12392,591.0,1,234.75000000000003,0,At Risk
12393,72.0,6,2399.45,1,Loyal Customers
12394,64.0,2,1272.48,1,Loyal Customers
12395,19.0,15,5067.27,1,Loyal Customers
12396,674.0,1,931.43,0,At Risk
12397,36.0,2,2409.9,1,Loyal Customers
12398,46.0,1,1635.6599999999999,1,Loyal Customers
12399,119.0,7,1962.3,1,Loyal Customers
12400,414.0,1,205.25,0,At Risk
12401,303.0,1,84.3,0,At Risk
12402,323.0,6,1256.9,0,At Risk
12403,50.0,2,1019.36,1,Loyal Customers
12404,682.0,1,63.24,0,At Risk
12405,149.0,1,1710.39,1,Loyal Customers
12406,22.0,5,6390.36,1,Loyal Customers
12407,50.0,5,1708.12,1,Loyal Customers
12408,33.0,8,4340.77,1,Loyal Customers
12409,79.0,7,23419.29,1,Loyal Customers
12410,309.0,3,1013.71,0,At Risk
12411,410.0,1,346.9,0,At Risk
12412,75.0,6,2596.93,1,Loyal Customers
12413,67.0,4,999.45,1,Loyal Customers
12414,217.0,6,952.41,1,Loyal Customers
12415,24.0,28,144458.37,1,Loyal Customers
12416,657.0,1,202.56,0,At Risk
12417,3.0,20,6816.91,1,Loyal Customers
12418,113.0,4,2021.2,1,Loyal Customers
12419,386.0,2,503.01,0,At Risk
12420,64.0,1,600.39,1,Loyal Customers
12421,16.0,6,1098.6,1,Loyal Customers
12422,96.0,17,5231.8,1,Loyal Customers
